Blocks with IP
   2.00
11
10
   1.00
Type of measurement (0=app. resistivity,1=resistance)
0
530
1
1
Chargability
msec
0.10,1.00
3    18.0000,0.0     14.0000,0.0     12.0000,0.0      62.0294    39.7361
3    20.0000,0.0     16.0000,0.0     14.0000,0.0     115.5235   -12.3257
3    22.0000,0.0     18.0000,0.0     16.0000,0.0     109.8450    -6.5811
3    24.0000,0.0     20.0000,0.0     18.0000,0.0     107.4327    -1.9928
3    26.0000,0.0     22.0000,0.0     20.0000,0.0     111.6569     1.8871
3    28.0000,0.0     24.0000,0.0     22.0000,0.0     129.5997     8.5473
3    30.0000,0.0     26.0000,0.0     24.0000,0.0     161.7131    21.6692
3    32.0000,0.0     28.0000,0.0     26.0000,0.0     232.1722    42.6053
3    34.0000,0.0     30.0000,0.0     28.0000,0.0     234.9594    38.8651
3    36.0000,0.0     32.0000,0.0     30.0000,0.0     155.2348    13.1362
3    38.0000,0.0     34.0000,0.0     32.0000,0.0     116.5536     1.2149
3    40.0000,0.0     36.0000,0.0     34.0000,0.0      89.0559    -3.6955
3    42.0000,0.0     38.0000,0.0     36.0000,0.0      88.2797     0.8674
3    44.0000,0.0     40.0000,0.0     38.0000,0.0      57.8784    26.4574
3    46.0000,0.0     42.0000,0.0     40.0000,0.0      96.0754    19.4505
3    48.0000,0.0     44.0000,0.0     42.0000,0.0      99.3288    20.9936
3    50.0000,0.0     46.0000,0.0     44.0000,0.0      18.7699    87.9390
3    52.0000,0.0     48.0000,0.0     46.0000,0.0     124.7702    -8.4578
3    54.0000,0.0     50.0000,0.0     48.0000,0.0     104.8403    -2.4883
3    56.0000,0.0     52.0000,0.0     50.0000,0.0     101.7096    -0.9109
3    58.0000,0.0     54.0000,0.0     52.0000,0.0     100.8873    -0.4185
3    60.0000,0.0     56.0000,0.0     54.0000,0.0     100.5785    -0.2232
3    62.0000,0.0     58.0000,0.0     56.0000,0.0     100.3923    -0.1320
3    64.0000,0.0     60.0000,0.0     58.0000,0.0     100.0647    -0.0844
3     8.0000,0.0      2.0000,0.0      0.0000,0.0      87.7420    15.5998
3    10.0000,0.0      4.0000,0.0      2.0000,0.0      67.0253    46.8892
3    12.0000,0.0      6.0000,0.0      4.0000,0.0      64.0825    59.0717
3    14.0000,0.0      8.0000,0.0      6.0000,0.0      76.0098    51.5962
3    16.0000,0.0     10.0000,0.0      8.0000,0.0      68.1655    58.0770
3    18.0000,0.0     12.0000,0.0     10.0000,0.0      33.8535   117.1203
3    20.0000,0.0     14.0000,0.0     12.0000,0.0      58.6721    45.0246
3    22.0000,0.0     16.0000,0.0     14.0000,0.0     119.2020   -14.1528
3    24.0000,0.0     18.0000,0.0     16.0000,0.0     115.7497    -7.7480
