Thick dike (pole-pole, pole-dipole, dipole-dipole)
   5.00
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
5477
1
0
4    50.0000,0.0     45.0000,0.0     70.0000,0.0     75.0000,0.0     360.3333
4    55.0000,0.0     50.0000,0.0     75.0000,0.0     80.0000,0.0     360.6514
4    60.0000,0.0     55.0000,0.0     80.0000,0.0     85.0000,0.0     361.0661
4    65.0000,0.0     60.0000,0.0     85.0000,0.0     90.0000,0.0     361.6117
4    70.0000,0.0     65.0000,0.0     90.0000,0.0     95.0000,0.0     362.3390
4    75.0000,0.0     70.0000,0.0     95.0000,0.0    100.0000,0.0     363.3245
4    80.0000,0.0     75.0000,0.0    100.0000,0.0    105.0000,0.0     364.6862
4    85.0000,0.0     80.0000,0.0    105.0000,0.0    110.0000,0.0     366.6105
4    90.0000,0.0     85.0000,0.0    110.0000,0.0    115.0000,0.0     369.3964
4    95.0000,0.0     90.0000,0.0    115.0000,0.0    120.0000,0.0     373.5218
4   100.0000,0.0     95.0000,0.0    120.0000,0.0    125.0000,0.0     379.6967
4   105.0000,0.0    100.0000,0.0    125.0000,0.0    130.0000,0.0     388.5685
4   110.0000,0.0    105.0000,0.0    130.0000,0.0    135.0000,0.0     398.1841
4   115.0000,0.0    110.0000,0.0    135.0000,0.0    140.0000,0.0     394.0203
4   120.0000,0.0    115.0000,0.0    140.0000,0.0    145.0000,0.0     350.2163
4   125.0000,0.0    120.0000,0.0    145.0000,0.0    150.0000,0.0     285.7620
4   130.0000,0.0    125.0000,0.0    150.0000,0.0    155.0000,0.0     235.9367
4   135.0000,0.0    130.0000,0.0    155.0000,0.0    160.0000,0.0     211.1459
4   140.0000,0.0    135.0000,0.0    160.0000,0.0    165.0000,0.0     211.1459
4   145.0000,0.0    140.0000,0.0    165.0000,0.0    170.0000,0.0     235.9366
4   150.0000,0.0    145.0000,0.0    170.0000,0.0    175.0000,0.0     285.7619
4   155.0000,0.0    150.0000,0.0    175.0000,0.0    180.0000,0.0     350.2161
4   160.0000,0.0    155.0000,0.0    180.0000,0.0    185.0000,0.0     394.0201
4   165.0000,0.0    160.0000,0.0    185.0000,0.0    190.0000,0.0     398.1839
4   170.0000,0.0    165.0000,0.0    190.0000,0.0    195.0000,0.0     388.5683
4   175.0000,0.0    170.0000,0.0    195.0000,0.0    200.0000,0.0     379.6965
4   180.0000,0.0    175.0000,0.0    200.0000,0.0    205.0000,0.0     373.5216
4   185.0000,0.0    180.0000,0.0    205.0000,0.0    210.0000,0.0     369.3963
4   190.0000,0.0    185.0000,0.0    210.0000,0.0    215.0000,0.0     366.6105
4   195.0000,0.0    190.0000,0.0    215.0000,0.0    220.0000,0.0     364.6861
4   200.0000,0.0    195.0000,0.0    220.0000,0.0    225.0000,0.0     363.3245
4   205.0000,0.0    200.0000,0.0    225.0000,0.0    230.0000,0.0     362.3391
4   210.0000,0.0    205.0000,0.0    230.0000,0.0    235.0000,0.0     361.6118
4   215.0000,0.0    210.0000,0.0    235.0000,0.0    240.0000,0.0     361.0663
4   220.0000,0.0    215.0000,0.0    240.0000,0.0    245.0000,0.0     360.6516
4   225.0000,0.0    220.0000,0.0    245.0000,0.0    250.0000,0.0     360.3336
4   230.0000,0.0    225.0000,0.0    250.0000,0.0    255.0000,0.0     360.0883
4   235.0000,0.0    230.0000,0.0    255.0000,0.0    260.0000,0.0     359.8994
4   240.0000,0.0    235.0000,0.0    260.0000,0.0    265.0000,0.0     359.7556
4   245.0000,0.0    240.0000,0.0    265.0000,0.0    270.0000,0.0     359.6501
4   250.0000,0.0    245.0000,0.0    270.0000,0.0    275.0000,0.0     359.5803
4   255.0000,0.0    250.0000,0.0    275.0000,0.0    280.0000,0.0     359.5494
4   260.0000,0.0    255.0000,0.0    280.0000,0.0    285.0000,0.0     359.5724
4   265.0000,0.0    260.0000,0.0    285.0000,0.0    290.0000,0.0     359.6950
4   270.0000,0.0    265.0000,0.0    290.0000,0.0    295.0000,0.0     360.0736
4    15.0000,0.0      0.0000,0.0     30.0000,0.0     45.0000,0.0     372.4006
4    20.0000,0.0      5.0000,0.0     35.0000,0.0     50.0000,0.0     372.3022
4    25.0000,0.0     10.0000,0.0     40.0000,0.0     55.0000,0.0     372.3121
4    30.0000,0.0     15.0000,0.0     45.0000,0.0     60.0000,0.0     372.3867
4    35.0000,0.0     20.0000,0.0     50.0000,0.0     65.0000,0.0     372.5128
4    40.0000,0.0     25.0000,0.0     55.0000,0.0     70.0000,0.0     372.6896
4    45.0000,0.0     30.0000,0.0     60.0000,0.0     75.0000,0.0     372.9235
4    50.0000,0.0     35.0000,0.0     65.0000,0.0     80.0000,0.0     373.2265
4    55.0000,0.0     40.0000,0.0     70.0000,0.0     85.0000,0.0     373.6172
4    60.0000,0.0     45.0000,0.0     75.0000,0.0     90.0000,0.0     374.1227
4    65.0000,0.0     50.0000,0.0     80.0000,0.0     95.0000,0.0     374.7819
4    70.0000,0.0     55.0000,0.0     85.0000,0.0    100.0000,0.0     375.6520
4    75.0000,0.0     60.0000,0.0     90.0000,0.0    105.0000,0.0     376.8178
4    80.0000,0.0     65.0000,0.0     95.0000,0.0    110.0000,0.0     378.4083
4    85.0000,0.0     70.0000,0.0    100.0000,0.0    115.0000,0.0     380.6230
4    90.0000,0.0     75.0000,0.0    105.0000,0.0    120.0000,0.0     383.7707
4    95.0000,0.0     80.0000,0.0    110.0000,0.0    125.0000,0.0     388.3105
4   100.0000,0.0     85.0000,0.0    115.0000,0.0    130.0000,0.0     394.7741
4   105.0000,0.0     90.0000,0.0    120.0000,0.0    135.0000,0.0     402.9338
4   110.0000,0.0     95.0000,0.0    125.0000,0.0    140.0000,0.0     408.3330
4   115.0000,0.0    100.0000,0.0    130.0000,0.0    145.0000,0.0     399.0061
4   120.0000,0.0    105.0000,0.0    135.0000,0.0    150.0000,0.0     365.2702
4   125.0000,0.0    110.0000,0.0    140.0000,0.0    155.0000,0.0     310.1378
4   130.0000,0.0    115.0000,0.0    145.0000,0.0    160.0000,0.0     256.3902
4   135.0000,0.0    120.0000,0.0    150.0000,0.0    165.0000,0.0     223.1288
4   140.0000,0.0    125.0000,0.0    155.0000,0.0    170.0000,0.0     212.5849
4   145.0000,0.0    130.0000,0.0    160.0000,0.0    175.0000,0.0     223.1287
4   150.0000,0.0    135.0000,0.0    165.0000,0.0    180.0000,0.0     256.3901
4   155.0000,0.0    140.0000,0.0    170.0000,0.0    185.0000,0.0     310.1377
4   160.0000,0.0    145.0000,0.0    175.0000,0.0    190.0000,0.0     365.2700
4   165.0000,0.0    150.0000,0.0    180.0000,0.0    195.0000,0.0     399.0058
4   170.0000,0.0    155.0000,0.0    185.0000,0.0    200.0000,0.0     408.3327
4   175.0000,0.0    160.0000,0.0    190.0000,0.0    205.0000,0.0     402.9335
4   180.0000,0.0    165.0000,0.0    195.0000,0.0    210.0000,0.0     394.7737
4   185.0000,0.0    170.0000,0.0    200.0000,0.0    215.0000,0.0     388.3102
4   190.0000,0.0    175.0000,0.0    205.0000,0.0    220.0000,0.0     383.7705
4   195.0000,0.0    180.0000,0.0    210.0000,0.0    225.0000,0.0     380.6228
4   200.0000,0.0    185.0000,0.0    215.0000,0.0    230.0000,0.0     378.4082
4   205.0000,0.0    190.0000,0.0    220.0000,0.0    235.0000,0.0     376.8177
4   210.0000,0.0    195.0000,0.0    225.0000,0.0    240.0000,0.0     375.6520
4   215.0000,0.0    200.0000,0.0    230.0000,0.0    245.0000,0.0     374.7820
4   220.0000,0.0    205.0000,0.0    235.0000,0.0    250.0000,0.0     374.1228
4   225.0000,0.0    210.0000,0.0    240.0000,0.0    255.0000,0.0     373.6174
4   230.0000,0.0    215.0000,0.0    245.0000,0.0    260.0000,0.0     373.2267
4   235.0000,0.0    220.0000,0.0    250.0000,0.0    265.0000,0.0     372.9238
4   240.0000,0.0    225.0000,0.0    255.0000,0.0    270.0000,0.0     372.6900
4   245.0000,0.0    230.0000,0.0    260.0000,0.0    275.0000,0.0     372.5132
4   250.0000,0.0    235.0000,0.0    265.0000,0.0    280.0000,0.0     372.3871
4   255.0000,0.0    240.0000,0.0    270.0000,0.0    285.0000,0.0     372.3126
4   260.0000,0.0    245.0000,0.0    275.0000,0.0    290.0000,0.0     372.3027
4   265.0000,0.0    250.0000,0.0    280.0000,0.0    295.0000,0.0     372.4011
4    10.0000,0.0      0.0000,0.0     30.0000,0.0     40.0000,0.0     389.2290
4    15.0000,0.0      5.0000,0.0     35.0000,0.0     45.0000,0.0     389.0264
4    20.0000,0.0     10.0000,0.0     40.0000,0.0     50.0000,0.0     388.9943
4    25.0000,0.0     15.0000,0.0     45.0000,0.0     55.0000,0.0     389.0529
4    30.0000,0.0     20.0000,0.0     50.0000,0.0     60.0000,0.0     389.1758
4    35.0000,0.0     25.0000,0.0     55.0000,0.0     65.0000,0.0     389.3575
4    40.0000,0.0     30.0000,0.0     60.0000,0.0     70.0000,0.0     389.6017
4    45.0000,0.0     35.0000,0.0     65.0000,0.0     75.0000,0.0     389.9196
4    50.0000,0.0     40.0000,0.0     70.0000,0.0     80.0000,0.0     390.3290
4    55.0000,0.0     45.0000,0.0     75.0000,0.0     85.0000,0.0     390.8564
4    60.0000,0.0     50.0000,0.0     80.0000,0.0     90.0000,0.0     391.5398
4    65.0000,0.0     55.0000,0.0     85.0000,0.0     95.0000,0.0     392.4342
4    70.0000,0.0     60.0000,0.0     90.0000,0.0    100.0000,0.0     393.6207
4    75.0000,0.0     65.0000,0.0     95.0000,0.0    105.0000,0.0     395.2208
4    80.0000,0.0     70.0000,0.0    100.0000,0.0    110.0000,0.0     397.4210
4    85.0000,0.0     75.0000,0.0    105.0000,0.0    115.0000,0.0     400.5115
4    90.0000,0.0     80.0000,0.0    110.0000,0.0    120.0000,0.0     404.9430
4    95.0000,0.0     85.0000,0.0    115.0000,0.0    125.0000,0.0     411.3739
4   100.0000,0.0     90.0000,0.0    120.0000,0.0    130.0000,0.0     420.4752
4   105.0000,0.0     95.0000,0.0    125.0000,0.0    135.0000,0.0     431.2516
4   110.0000,0.0    100.0000,0.0    130.0000,0.0    140.0000,0.0     434.3105
4   115.0000,0.0    105.0000,0.0    135.0000,0.0    145.0000,0.0     407.1454
4   120.0000,0.0    110.0000,0.0    140.0000,0.0    150.0000,0.0     342.9915
4   125.0000,0.0    115.0000,0.0    145.0000,0.0    155.0000,0.0     272.2504
4   130.0000,0.0    120.0000,0.0    150.0000,0.0    160.0000,0.0     222.9578
4   135.0000,0.0    125.0000,0.0    155.0000,0.0    165.0000,0.0     199.9224
4   140.0000,0.0    130.0000,0.0    160.0000,0.0    170.0000,0.0     199.9224
4   145.0000,0.0    135.0000,0.0    165.0000,0.0    175.0000,0.0     222.9578
4   150.0000,0.0    140.0000,0.0    170.0000,0.0    180.0000,0.0     272.2502
4   155.0000,0.0    145.0000,0.0    175.0000,0.0    185.0000,0.0     342.9913
4   160.0000,0.0    150.0000,0.0    180.0000,0.0    190.0000,0.0     407.1451
4   165.0000,0.0    155.0000,0.0    185.0000,0.0    195.0000,0.0     434.3101
4   170.0000,0.0    160.0000,0.0    190.0000,0.0    200.0000,0.0     431.2512
4   175.0000,0.0    165.0000,0.0    195.0000,0.0    205.0000,0.0     420.4748
4   180.0000,0.0    170.0000,0.0    200.0000,0.0    210.0000,0.0     411.3735
4   185.0000,0.0    175.0000,0.0    205.0000,0.0    215.0000,0.0     404.9426
4   190.0000,0.0    180.0000,0.0    210.0000,0.0    220.0000,0.0     400.5112
4   195.0000,0.0    185.0000,0.0    215.0000,0.0    225.0000,0.0     397.4208
4   200.0000,0.0    190.0000,0.0    220.0000,0.0    230.0000,0.0     395.2207
4   205.0000,0.0    195.0000,0.0    225.0000,0.0    235.0000,0.0     393.6206
4   210.0000,0.0    200.0000,0.0    230.0000,0.0    240.0000,0.0     392.4342
4   215.0000,0.0    205.0000,0.0    235.0000,0.0    245.0000,0.0     391.5399
4   220.0000,0.0    210.0000,0.0    240.0000,0.0    250.0000,0.0     390.8566
4   225.0000,0.0    215.0000,0.0    245.0000,0.0    255.0000,0.0     390.3292
4   230.0000,0.0    220.0000,0.0    250.0000,0.0    260.0000,0.0     389.9198
4   235.0000,0.0    225.0000,0.0    255.0000,0.0    265.0000,0.0     389.6020
4   240.0000,0.0    230.0000,0.0    260.0000,0.0    270.0000,0.0     389.3579
4   245.0000,0.0    235.0000,0.0    265.0000,0.0    275.0000,0.0     389.1763
4   250.0000,0.0    240.0000,0.0    270.0000,0.0    280.0000,0.0     389.0533
4   255.0000,0.0    245.0000,0.0    275.0000,0.0    285.0000,0.0     388.9948
4   260.0000,0.0    250.0000,0.0    280.0000,0.0    290.0000,0.0     389.0270
4   265.0000,0.0    255.0000,0.0    285.0000,0.0    295.0000,0.0     389.2296
4     5.0000,0.0      0.0000,0.0     30.0000,0.0     35.0000,0.0     399.5220
4    10.0000,0.0      5.0000,0.0     35.0000,0.0     40.0000,0.0     399.1521
4    15.0000,0.0     10.0000,0.0     40.0000,0.0     45.0000,0.0     399.0508
4    20.0000,0.0     15.0000,0.0     45.0000,0.0     50.0000,0.0     399.0753
4    25.0000,0.0     20.0000,0.0     50.0000,0.0     55.0000,0.0     399.1786
4    30.0000,0.0     25.0000,0.0     55.0000,0.0     60.0000,0.0     399.3469
4    35.0000,0.0     30.0000,0.0     60.0000,0.0     65.0000,0.0     399.5800
4    40.0000,0.0     35.0000,0.0     65.0000,0.0     70.0000,0.0     399.8866
4    45.0000,0.0     40.0000,0.0     70.0000,0.0     75.0000,0.0     400.2822
4    50.0000,0.0     45.0000,0.0     75.0000,0.0     80.0000,0.0     400.7908
4    55.0000,0.0     50.0000,0.0     80.0000,0.0     85.0000,0.0     401.4468
4    60.0000,0.0     55.0000,0.0     85.0000,0.0     90.0000,0.0     402.2997
4    65.0000,0.0     60.0000,0.0     90.0000,0.0     95.0000,0.0     403.4217
4    70.0000,0.0     65.0000,0.0     95.0000,0.0    100.0000,0.0     404.9200
4    75.0000,0.0     70.0000,0.0    100.0000,0.0    105.0000,0.0     406.9572
4    80.0000,0.0     75.0000,0.0    105.0000,0.0    110.0000,0.0     409.7846
4    85.0000,0.0     80.0000,0.0    110.0000,0.0    115.0000,0.0     413.7955
4    90.0000,0.0     85.0000,0.0    115.0000,0.0    120.0000,0.0     419.5984
4    95.0000,0.0     90.0000,0.0    120.0000,0.0    125.0000,0.0     428.0422
4   100.0000,0.0     95.0000,0.0    125.0000,0.0    130.0000,0.0     439.7081
4   105.0000,0.0    100.0000,0.0    130.0000,0.0    135.0000,0.0     451.3889
4   110.0000,0.0    105.0000,0.0    135.0000,0.0    140.0000,0.0     443.6675
4   115.0000,0.0    110.0000,0.0    140.0000,0.0    145.0000,0.0     385.1730
4   120.0000,0.0    115.0000,0.0    145.0000,0.0    150.0000,0.0     301.8637
4   125.0000,0.0    120.0000,0.0    150.0000,0.0    155.0000,0.0     236.4498
4   130.0000,0.0    125.0000,0.0    155.0000,0.0    160.0000,0.0     200.1506
4   135.0000,0.0    130.0000,0.0    160.0000,0.0    165.0000,0.0     189.3829
4   140.0000,0.0    135.0000,0.0    165.0000,0.0    170.0000,0.0     200.1505
4   145.0000,0.0    140.0000,0.0    170.0000,0.0    175.0000,0.0     236.4498
4   150.0000,0.0    145.0000,0.0    175.0000,0.0    180.0000,0.0     301.8636
4   155.0000,0.0    150.0000,0.0    180.0000,0.0    185.0000,0.0     385.1727
4   160.0000,0.0    155.0000,0.0    185.0000,0.0    190.0000,0.0     443.6671
4   165.0000,0.0    160.0000,0.0    190.0000,0.0    195.0000,0.0     451.3884
4   170.0000,0.0    165.0000,0.0    195.0000,0.0    200.0000,0.0     439.7076
4   175.0000,0.0    170.0000,0.0    200.0000,0.0    205.0000,0.0     428.0417
4   180.0000,0.0    175.0000,0.0    205.0000,0.0    210.0000,0.0     419.5980
4   185.0000,0.0    180.0000,0.0    210.0000,0.0    215.0000,0.0     413.7952
4   190.0000,0.0    185.0000,0.0    215.0000,0.0    220.0000,0.0     409.7843
4   195.0000,0.0    190.0000,0.0    220.0000,0.0    225.0000,0.0     406.9570
4   200.0000,0.0    195.0000,0.0    225.0000,0.0    230.0000,0.0     404.9199
4   205.0000,0.0    200.0000,0.0    230.0000,0.0    235.0000,0.0     403.4216
4   210.0000,0.0    205.0000,0.0    235.0000,0.0    240.0000,0.0     402.2997
4   215.0000,0.0    210.0000,0.0    240.0000,0.0    245.0000,0.0     401.4469
4   220.0000,0.0    215.0000,0.0    245.0000,0.0    250.0000,0.0     400.7910
4   225.0000,0.0    220.0000,0.0    250.0000,0.0    255.0000,0.0     400.2825
4   230.0000,0.0    225.0000,0.0    255.0000,0.0    260.0000,0.0     399.8869
4   235.0000,0.0    230.0000,0.0    260.0000,0.0    265.0000,0.0     399.5804
4   240.0000,0.0    235.0000,0.0    265.0000,0.0    270.0000,0.0     399.3473
4   245.0000,0.0    240.0000,0.0    270.0000,0.0    275.0000,0.0     399.1790
4   250.0000,0.0    245.0000,0.0    275.0000,0.0    280.0000,0.0     399.0757
4   255.0000,0.0    250.0000,0.0    280.0000,0.0    285.0000,0.0     399.0514
4   260.0000,0.0    255.0000,0.0    285.0000,0.0    290.0000,0.0     399.1527
4   265.0000,0.0    260.0000,0.0    290.0000,0.0    295.0000,0.0     399.5226
4    20.0000,0.0      0.0000,0.0     40.0000,0.0     60.0000,0.0     436.7069
4    25.0000,0.0      5.0000,0.0     45.0000,0.0     65.0000,0.0     436.8287
4    30.0000,0.0     10.0000,0.0     50.0000,0.0     70.0000,0.0     437.0913
4    35.0000,0.0     15.0000,0.0     55.0000,0.0     75.0000,0.0     437.4774
4    40.0000,0.0     20.0000,0.0     60.0000,0.0     80.0000,0.0     437.9928
4    45.0000,0.0     25.0000,0.0     65.0000,0.0     85.0000,0.0     438.6588
4    50.0000,0.0     30.0000,0.0     70.0000,0.0     90.0000,0.0     439.5113
4    55.0000,0.0     35.0000,0.0     75.0000,0.0     95.0000,0.0     440.6033
4    60.0000,0.0     40.0000,0.0     80.0000,0.0    100.0000,0.0     442.0113
4    65.0000,0.0     45.0000,0.0     85.0000,0.0    105.0000,0.0     443.8458
4    70.0000,0.0     50.0000,0.0     90.0000,0.0    110.0000,0.0     446.2685
4    75.0000,0.0     55.0000,0.0     95.0000,0.0    115.0000,0.0     449.5179
4    80.0000,0.0     60.0000,0.0    100.0000,0.0    120.0000,0.0     453.9454
4    85.0000,0.0     65.0000,0.0    105.0000,0.0    125.0000,0.0     460.0403
4    90.0000,0.0     70.0000,0.0    110.0000,0.0    130.0000,0.0     468.3053
4    95.0000,0.0     75.0000,0.0    115.0000,0.0    135.0000,0.0     478.3371
4   100.0000,0.0     80.0000,0.0    120.0000,0.0    140.0000,0.0     485.5005
4   105.0000,0.0     85.0000,0.0    125.0000,0.0    145.0000,0.0     478.6826
4   110.0000,0.0     90.0000,0.0    130.0000,0.0    150.0000,0.0     449.4610
4   115.0000,0.0     95.0000,0.0    135.0000,0.0    155.0000,0.0     395.3503
4   120.0000,0.0    100.0000,0.0    140.0000,0.0    160.0000,0.0     323.3880
4   125.0000,0.0    105.0000,0.0    145.0000,0.0    165.0000,0.0     257.9474
4   130.0000,0.0    110.0000,0.0    150.0000,0.0    170.0000,0.0     216.0974
4   135.0000,0.0    115.0000,0.0    155.0000,0.0    175.0000,0.0     197.3830
4   140.0000,0.0    120.0000,0.0    160.0000,0.0    180.0000,0.0     197.3830
4   145.0000,0.0    125.0000,0.0    165.0000,0.0    185.0000,0.0     216.0973
4   150.0000,0.0    130.0000,0.0    170.0000,0.0    190.0000,0.0     257.9473
4   155.0000,0.0    135.0000,0.0    175.0000,0.0    195.0000,0.0     323.3877
4   160.0000,0.0    140.0000,0.0    180.0000,0.0    200.0000,0.0     395.3498
4   165.0000,0.0    145.0000,0.0    185.0000,0.0    205.0000,0.0     449.4604
4   170.0000,0.0    150.0000,0.0    190.0000,0.0    210.0000,0.0     478.6819
4   175.0000,0.0    155.0000,0.0    195.0000,0.0    215.0000,0.0     485.4996
4   180.0000,0.0    160.0000,0.0    200.0000,0.0    220.0000,0.0     478.3362
4   185.0000,0.0    165.0000,0.0    205.0000,0.0    225.0000,0.0     468.3044
4   190.0000,0.0    170.0000,0.0    210.0000,0.0    230.0000,0.0     460.0395
4   195.0000,0.0    175.0000,0.0    215.0000,0.0    235.0000,0.0     453.9447
4   200.0000,0.0    180.0000,0.0    220.0000,0.0    240.0000,0.0     449.5173
4   205.0000,0.0    185.0000,0.0    225.0000,0.0    245.0000,0.0     446.2680
4   210.0000,0.0    190.0000,0.0    230.0000,0.0    250.0000,0.0     443.8454
4   215.0000,0.0    195.0000,0.0    235.0000,0.0    255.0000,0.0     442.0110
4   220.0000,0.0    200.0000,0.0    240.0000,0.0    260.0000,0.0     440.6031
4   225.0000,0.0    205.0000,0.0    245.0000,0.0    265.0000,0.0     439.5112
4   230.0000,0.0    210.0000,0.0    250.0000,0.0    270.0000,0.0     438.6588
4   235.0000,0.0    215.0000,0.0    255.0000,0.0    275.0000,0.0     437.9928
4   240.0000,0.0    220.0000,0.0    260.0000,0.0    280.0000,0.0     437.4775
4   245.0000,0.0    225.0000,0.0    265.0000,0.0    285.0000,0.0     437.0915
4   250.0000,0.0    230.0000,0.0    270.0000,0.0    290.0000,0.0     436.8290
4   255.0000,0.0    235.0000,0.0    275.0000,0.0    295.0000,0.0     436.7072
4     5.0000,0.0      0.0000,0.0     35.0000,0.0     40.0000,0.0     439.5798
4    10.0000,0.0      5.0000,0.0     40.0000,0.0     45.0000,0.0     439.2590
4    15.0000,0.0     10.0000,0.0     45.0000,0.0     50.0000,0.0     439.2217
4    20.0000,0.0     15.0000,0.0     50.0000,0.0     55.0000,0.0     439.3402
4    25.0000,0.0     20.0000,0.0     55.0000,0.0     60.0000,0.0     439.5713
4    30.0000,0.0     25.0000,0.0     60.0000,0.0     65.0000,0.0     439.9049
4    35.0000,0.0     30.0000,0.0     65.0000,0.0     70.0000,0.0     440.3483
4    40.0000,0.0     35.0000,0.0     70.0000,0.0     75.0000,0.0     440.9207
4    45.0000,0.0     40.0000,0.0     75.0000,0.0     80.0000,0.0     441.6530
4    50.0000,0.0     45.0000,0.0     80.0000,0.0     85.0000,0.0     442.5909
4    55.0000,0.0     50.0000,0.0     85.0000,0.0     90.0000,0.0     443.7993
4    60.0000,0.0     55.0000,0.0     90.0000,0.0     95.0000,0.0     445.3727
4    65.0000,0.0     60.0000,0.0     95.0000,0.0    100.0000,0.0     447.4488
4    70.0000,0.0     65.0000,0.0    100.0000,0.0    105.0000,0.0     450.2336
4    75.0000,0.0     70.0000,0.0    105.0000,0.0    110.0000,0.0     454.0390
4    80.0000,0.0     75.0000,0.0    110.0000,0.0    115.0000,0.0     459.3428
4    85.0000,0.0     80.0000,0.0    115.0000,0.0    120.0000,0.0     466.8607
4    90.0000,0.0     85.0000,0.0    120.0000,0.0    125.0000,0.0     477.5316
4    95.0000,0.0     90.0000,0.0    125.0000,0.0    130.0000,0.0     491.7753
4   100.0000,0.0     95.0000,0.0    130.0000,0.0    135.0000,0.0     505.0144
4   105.0000,0.0    100.0000,0.0    135.0000,0.0    140.0000,0.0     493.1679
4   110.0000,0.0    105.0000,0.0    140.0000,0.0    145.0000,0.0     420.6161
4   115.0000,0.0    110.0000,0.0    145.0000,0.0    150.0000,0.0     321.0763
4   120.0000,0.0    115.0000,0.0    150.0000,0.0    155.0000,0.0     244.3173
4   125.0000,0.0    120.0000,0.0    155.0000,0.0    160.0000,0.0     201.5216
4   130.0000,0.0    125.0000,0.0    160.0000,0.0    165.0000,0.0     184.9948
4   135.0000,0.0    130.0000,0.0    165.0000,0.0    170.0000,0.0     184.9948
4   140.0000,0.0    135.0000,0.0    170.0000,0.0    175.0000,0.0     201.5216
4   145.0000,0.0    140.0000,0.0    175.0000,0.0    180.0000,0.0     244.3172
4   150.0000,0.0    145.0000,0.0    180.0000,0.0    185.0000,0.0     321.0760
4   155.0000,0.0    150.0000,0.0    185.0000,0.0    190.0000,0.0     420.6157
4   160.0000,0.0    155.0000,0.0    190.0000,0.0    195.0000,0.0     493.1673
4   165.0000,0.0    160.0000,0.0    195.0000,0.0    200.0000,0.0     505.0136
4   170.0000,0.0    165.0000,0.0    200.0000,0.0    205.0000,0.0     491.7745
4   175.0000,0.0    170.0000,0.0    205.0000,0.0    210.0000,0.0     477.5308
4   180.0000,0.0    175.0000,0.0    210.0000,0.0    215.0000,0.0     466.8600
4   185.0000,0.0    180.0000,0.0    215.0000,0.0    220.0000,0.0     459.3422
4   190.0000,0.0    185.0000,0.0    220.0000,0.0    225.0000,0.0     454.0384
4   195.0000,0.0    190.0000,0.0    225.0000,0.0    230.0000,0.0     450.2331
4   200.0000,0.0    195.0000,0.0    230.0000,0.0    235.0000,0.0     447.4485
4   205.0000,0.0    200.0000,0.0    235.0000,0.0    240.0000,0.0     445.3724
4   210.0000,0.0    205.0000,0.0    240.0000,0.0    245.0000,0.0     443.7991
4   215.0000,0.0    210.0000,0.0    245.0000,0.0    250.0000,0.0     442.5908
4   220.0000,0.0    215.0000,0.0    250.0000,0.0    255.0000,0.0     441.6531
4   225.0000,0.0    220.0000,0.0    255.0000,0.0    260.0000,0.0     440.9208
4   230.0000,0.0    225.0000,0.0    260.0000,0.0    265.0000,0.0     440.3485
4   235.0000,0.0    230.0000,0.0    265.0000,0.0    270.0000,0.0     439.9052
4   240.0000,0.0    235.0000,0.0    270.0000,0.0    275.0000,0.0     439.5716
4   245.0000,0.0    240.0000,0.0    275.0000,0.0    280.0000,0.0     439.3407
4   250.0000,0.0    245.0000,0.0    280.0000,0.0    285.0000,0.0     439.2222
4   255.0000,0.0    250.0000,0.0    285.0000,0.0    290.0000,0.0     439.2596
4   260.0000,0.0    255.0000,0.0    290.0000,0.0    295.0000,0.0     439.5804
4    10.0000,0.0      0.0000,0.0     40.0000,0.0     50.0000,0.0     470.0398
4    15.0000,0.0      5.0000,0.0     45.0000,0.0     55.0000,0.0     469.9834
4    20.0000,0.0     10.0000,0.0     50.0000,0.0     60.0000,0.0     470.1567
4    25.0000,0.0     15.0000,0.0     55.0000,0.0     65.0000,0.0     470.4945
4    30.0000,0.0     20.0000,0.0     60.0000,0.0     70.0000,0.0     470.9808
4    35.0000,0.0     25.0000,0.0     65.0000,0.0     75.0000,0.0     471.6249
4    40.0000,0.0     30.0000,0.0     70.0000,0.0     80.0000,0.0     472.4538
4    45.0000,0.0     35.0000,0.0     75.0000,0.0     85.0000,0.0     473.5113
4    50.0000,0.0     40.0000,0.0     80.0000,0.0     90.0000,0.0     474.8620
4    55.0000,0.0     45.0000,0.0     85.0000,0.0     95.0000,0.0     476.5986
4    60.0000,0.0     50.0000,0.0     90.0000,0.0    100.0000,0.0     478.8545
4    65.0000,0.0     55.0000,0.0     95.0000,0.0    105.0000,0.0     481.8244
4    70.0000,0.0     60.0000,0.0    100.0000,0.0    110.0000,0.0     485.7966
4    75.0000,0.0     65.0000,0.0    105.0000,0.0    115.0000,0.0     491.2013
4    80.0000,0.0     70.0000,0.0    110.0000,0.0    120.0000,0.0     498.6722
4    85.0000,0.0     75.0000,0.0    115.0000,0.0    125.0000,0.0     509.0527
4    90.0000,0.0     80.0000,0.0    120.0000,0.0    130.0000,0.0     522.9396
4    95.0000,0.0     85.0000,0.0    125.0000,0.0    135.0000,0.0     537.8704
4   100.0000,0.0     90.0000,0.0    130.0000,0.0    140.0000,0.0     538.6189
4   105.0000,0.0     95.0000,0.0    135.0000,0.0    145.0000,0.0     493.6524
4   110.0000,0.0    100.0000,0.0    140.0000,0.0    150.0000,0.0     399.1121
4   115.0000,0.0    105.0000,0.0    145.0000,0.0    155.0000,0.0     300.6271
