Thick dike (pole-pole, pole-dipole, dipole-dipole)
   5.00
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
5477
1
0
2    90.0000,0.0    110.0000,0.0     551.0374
2    95.0000,0.0    115.0000,0.0     536.1126
2   100.0000,0.0    120.0000,0.0     517.2627
2   105.0000,0.0    125.0000,0.0     492.9371
2   110.0000,0.0    130.0000,0.0     461.0660
2   115.0000,0.0    135.0000,0.0     420.1003
2   120.0000,0.0    140.0000,0.0     373.9492
2   125.0000,0.0    145.0000,0.0     336.0048
2   130.0000,0.0    150.0000,0.0     313.7802
2   135.0000,0.0    155.0000,0.0     304.6880
2   140.0000,0.0    160.0000,0.0     304.6896
2   145.0000,0.0    165.0000,0.0     313.7848
2   150.0000,0.0    170.0000,0.0     336.0123
2   155.0000,0.0    175.0000,0.0     373.9599
2   160.0000,0.0    180.0000,0.0     420.1145
2   165.0000,0.0    185.0000,0.0     461.0841
2   170.0000,0.0    190.0000,0.0     492.9592
2   175.0000,0.0    195.0000,0.0     517.2889
2   180.0000,0.0    200.0000,0.0     536.1429
2   185.0000,0.0    205.0000,0.0     551.0719
2   190.0000,0.0    210.0000,0.0     563.1384
2   195.0000,0.0    215.0000,0.0     573.0691
2   200.0000,0.0    220.0000,0.0     581.3704
2   205.0000,0.0    225.0000,0.0     588.4043
2   210.0000,0.0    230.0000,0.0     594.4352
2   215.0000,0.0    235.0000,0.0     599.6606
2   220.0000,0.0    240.0000,0.0     604.2307
2   225.0000,0.0    245.0000,0.0     608.2609
2   230.0000,0.0    250.0000,0.0     611.8417
2   235.0000,0.0    255.0000,0.0     615.0438
2   240.0000,0.0    260.0000,0.0     617.9231
2   245.0000,0.0    265.0000,0.0     620.5232
2   250.0000,0.0    270.0000,0.0     622.8773
2   255.0000,0.0    275.0000,0.0     625.0086
2   260.0000,0.0    280.0000,0.0     626.9299
2   265.0000,0.0    285.0000,0.0     628.6384
2   270.0000,0.0    290.0000,0.0     630.1035
2   275.0000,0.0    295.0000,0.0     631.2178
2     0.0000,0.0     25.0000,0.0     673.0193
2     5.0000,0.0     30.0000,0.0     671.3903
2    10.0000,0.0     35.0000,0.0     669.4099
2    15.0000,0.0     40.0000,0.0     667.1506
2    20.0000,0.0     45.0000,0.0     664.6304
2    25.0000,0.0     50.0000,0.0     661.8418
2    30.0000,0.0     55.0000,0.0     658.7623
2    35.0000,0.0     60.0000,0.0     655.3564
2    40.0000,0.0     65.0000,0.0     651.5768
2    45.0000,0.0     70.0000,0.0     647.3615
2    50.0000,0.0     75.0000,0.0     642.6322
2    55.0000,0.0     80.0000,0.0     637.2893
2    60.0000,0.0     85.0000,0.0     631.2056
2    65.0000,0.0     90.0000,0.0     624.2173
2    70.0000,0.0     95.0000,0.0     616.1108
2    75.0000,0.0    100.0000,0.0     606.6025
2    80.0000,0.0    105.0000,0.0     595.3099
2    85.0000,0.0    110.0000,0.0     581.7057
2    90.0000,0.0    115.0000,0.0     565.0475
2    95.0000,0.0    120.0000,0.0     544.2747
2   100.0000,0.0    125.0000,0.0     517.8882
2   105.0000,0.0    130.0000,0.0     483.9965
2   110.0000,0.0    135.0000,0.0     441.5000
2   115.0000,0.0    140.0000,0.0     394.9795
2   120.0000,0.0    145.0000,0.0     357.7827
2   125.0000,0.0    150.0000,0.0     336.4423
2   130.0000,0.0    155.0000,0.0     327.3337
2   135.0000,0.0    160.0000,0.0     325.0643
2   140.0000,0.0    165.0000,0.0     327.3378
2   145.0000,0.0    170.0000,0.0     336.4502
2   150.0000,0.0    175.0000,0.0     357.7944
2   155.0000,0.0    180.0000,0.0     394.9952
2   160.0000,0.0    185.0000,0.0     441.5203
2   165.0000,0.0    190.0000,0.0     484.0216
2   170.0000,0.0    195.0000,0.0     517.9182
2   175.0000,0.0    200.0000,0.0     544.3099
2   180.0000,0.0    205.0000,0.0     565.0879
2   185.0000,0.0    210.0000,0.0     581.7513
2   190.0000,0.0    215.0000,0.0     595.3608
2   195.0000,0.0    220.0000,0.0     606.6588
2   200.0000,0.0    225.0000,0.0     616.1724
2   205.0000,0.0    230.0000,0.0     624.2843
2   210.0000,0.0    235.0000,0.0     631.2780
2   215.0000,0.0    240.0000,0.0     637.3670
2   220.0000,0.0    245.0000,0.0     642.7153
2   225.0000,0.0    250.0000,0.0     647.4500
2   230.0000,0.0    255.0000,0.0     651.6705
2   235.0000,0.0    260.0000,0.0     655.4556
2   240.0000,0.0    265.0000,0.0     658.8666
2   245.0000,0.0    270.0000,0.0     661.9514
2   250.0000,0.0    275.0000,0.0     664.7451
2   255.0000,0.0    280.0000,0.0     667.2704
2   260.0000,0.0    285.0000,0.0     669.5348
2   265.0000,0.0    290.0000,0.0     671.5202
2   270.0000,0.0    295.0000,0.0     673.1541
2     0.0000,0.0     30.0000,0.0     704.3032
2     5.0000,0.0     35.0000,0.0     702.1257
2    10.0000,0.0     40.0000,0.0     699.5826
2    15.0000,0.0     45.0000,0.0     696.7206
2    20.0000,0.0     50.0000,0.0     693.5439
2    25.0000,0.0     55.0000,0.0     690.0340
2    30.0000,0.0     60.0000,0.0     686.1560
2    35.0000,0.0     65.0000,0.0     681.8603
2    40.0000,0.0     70.0000,0.0     677.0820
2    45.0000,0.0     75.0000,0.0     671.7378
2    50.0000,0.0     80.0000,0.0     665.7219
2    55.0000,0.0     85.0000,0.0     658.9000
2    60.0000,0.0     90.0000,0.0     651.1000
2    65.0000,0.0     95.0000,0.0     642.0988
2    70.0000,0.0    100.0000,0.0     631.6039
2    75.0000,0.0    105.0000,0.0     619.2245
2    80.0000,0.0    110.0000,0.0     604.4304
2    85.0000,0.0    115.0000,0.0     586.4874
2    90.0000,0.0    120.0000,0.0     564.3700
2    95.0000,0.0    125.0000,0.0     536.6711
2   100.0000,0.0    130.0000,0.0     501.7129
2   105.0000,0.0    135.0000,0.0     458.8153
2   110.0000,0.0    140.0000,0.0     413.0271
2   115.0000,0.0    145.0000,0.0     377.4124
2   120.0000,0.0    150.0000,0.0     357.6389
2   125.0000,0.0    155.0000,0.0     349.4545
2   130.0000,0.0    160.0000,0.0     346.9601
2   135.0000,0.0    165.0000,0.0     346.9627
2   140.0000,0.0    170.0000,0.0     349.4622
2   145.0000,0.0    175.0000,0.0     357.6512
2   150.0000,0.0    180.0000,0.0     377.4293
2   155.0000,0.0    185.0000,0.0     413.0488
2   160.0000,0.0    190.0000,0.0     458.8424
2   165.0000,0.0    195.0000,0.0     501.7458
2   170.0000,0.0    200.0000,0.0     536.7100
2   175.0000,0.0    205.0000,0.0     564.4150
2   180.0000,0.0    210.0000,0.0     586.5388
2   185.0000,0.0    215.0000,0.0     604.4880
2   190.0000,0.0    220.0000,0.0     619.2885
2   195.0000,0.0    225.0000,0.0     631.6742
2   200.0000,0.0    230.0000,0.0     642.1755
2   205.0000,0.0    235.0000,0.0     651.1831
2   210.0000,0.0    240.0000,0.0     658.9896
2   215.0000,0.0    245.0000,0.0     665.8179
2   220.0000,0.0    250.0000,0.0     671.8401
2   225.0000,0.0    255.0000,0.0     677.1908
2   230.0000,0.0    260.0000,0.0     681.9755
2   235.0000,0.0    265.0000,0.0     686.2774
2   240.0000,0.0    270.0000,0.0     690.1617
2   245.0000,0.0    275.0000,0.0     693.6778
2   250.0000,0.0    280.0000,0.0     696.8607
2   255.0000,0.0    285.0000,0.0     699.7287
2   260.0000,0.0    290.0000,0.0     702.2778
2   265.0000,0.0    295.0000,0.0     704.4612
2     0.0000,0.0     35.0000,0.0     727.5222
2     5.0000,0.0     40.0000,0.0     724.7627
2    10.0000,0.0     45.0000,0.0     721.6130
2    15.0000,0.0     50.0000,0.0     718.0979
2    20.0000,0.0     55.0000,0.0     714.2078
2    25.0000,0.0     60.0000,0.0     709.9110
2    30.0000,0.0     65.0000,0.0     705.1588
2    35.0000,0.0     70.0000,0.0     699.8845
2    40.0000,0.0     75.0000,0.0     694.0026
2    45.0000,0.0     80.0000,0.0     687.4040
2    50.0000,0.0     85.0000,0.0     679.9504
2    55.0000,0.0     90.0000,0.0     671.4655
2    60.0000,0.0     95.0000,0.0     661.7224
2    65.0000,0.0    100.0000,0.0     650.4261
2    70.0000,0.0    105.0000,0.0     637.1869
2    75.0000,0.0    110.0000,0.0     621.4825
2    80.0000,0.0    115.0000,0.0     602.6025
2    85.0000,0.0    120.0000,0.0     579.5738
2    90.0000,0.0    125.0000,0.0     551.0995
2    95.0000,0.0    130.0000,0.0     515.7184
2   100.0000,0.0    135.0000,0.0     473.1137
2   105.0000,0.0    140.0000,0.0     428.6273
2   110.0000,0.0    145.0000,0.0     394.8863
