Pole-dipole 4 boreholes test
1.0
12
1160
2
0
Surface Electrodes
16
0.0,  0.0
1.0,  0.0
2.0,  0.0
3.0,  0.0
4.0,  0.0
5.0,  0.0
6.0,  0.0
7.0,  0.0
8.0,  0.0
9.0,  0.0
10.0, 0.0
11.0, 0.0
12.0, 0.0
13.0, 0.0
14.0, 0.0
15.0, 0.0
Number of boreholes
4
Borehole 1 Electrodes
11
  4.0 1.0
  4.0 2.0
  4.0 3.0
  4.0 4.0
  4.0 5.0
  4.0 6.0
  4.0 7.0
  4.0 8.0
  4.0 9.0
  4.0 10.0
  4.0 11.0
Borehole 2 Electrodes
11
  5.0 1.0
  5.0 2.0
  5.0 3.0
  5.0 4.0
  5.0 5.0
  5.0 6.0
  5.0 7.0
  5.0 8.0
  5.0 9.0
  5.0 10.0
  5.0 11.0
Borehole 3 Electrodes
11
 10.0 1.0
 10.0 2.0
 10.0 3.0
 10.0 4.0
 10.0 5.0
 10.0 6.0
 10.0 7.0
 10.0 8.0
 10.0 9.0
 10.0 10.0
 10.0 11.0
Borehole 4 Electrodes
11
11.0 1.0
11.0 2.0
11.0 3.0
11.0 4.0
11.0 5.0
11.0 6.0
11.0 7.0
11.0 8.0
11.0 9.0
11.0 10.0
11.0 11.0
Error estimate for data present
Type of error estimate (0=same unit as data)
0
Measured Data
3    9.000    0.000   5.000    0.000    4.000    0.000  116.654538  2.080700
3    9.000    0.000   4.000    0.000    3.000    0.000  115.079483  0.611549
3    9.000    0.000   3.000    0.000    2.000    0.000  117.139250  2.214598
3    9.000    0.000   2.000    0.000    1.000    0.000  113.065653  0.474187
3    9.000    0.000   1.000    0.000    0.000    0.000  109.761633  2.196940
3    8.000    0.000   7.000    0.000    6.000    0.000  103.744995  0.509163
3    8.000    0.000   6.000    0.000    5.000    0.000  104.037600  1.962393
3    8.000    0.000   5.000    0.000    4.000    0.000  110.969402  0.666416
3    8.000    0.000   4.000    0.000    3.000    0.000  110.744889  1.961624
3    8.000    0.000   3.000    0.000    2.000    0.000  114.195473  0.810852
3    8.000    0.000   2.000    0.000    1.000    0.000  111.109838  1.840532
3    8.000    0.000   1.000    0.000    0.000    0.000  112.712613  0.478094
3    7.000    0.000   6.000    0.000    5.000    0.000  101.930340  1.571720
3    7.000    0.000   5.000    0.000    4.000    0.000  105.960110  0.565906
3    7.000    0.000   4.000    0.000    3.000    0.000  106.780597  1.524609
3    7.000    0.000   3.000    0.000    2.000    0.000  110.695475  0.712588
3    7.000    0.000   2.000    0.000    1.000    0.000  109.251736  1.435314
3    7.000    0.000   1.000    0.000    0.000    0.000  111.502543  0.839656
3    6.000    0.000   5.000    0.000    4.000    0.000  101.975473  1.223828
3    6.000    0.000   4.000    0.000    3.000    0.000  104.968526  0.905057
3    6.000    0.000   3.000    0.000    2.000    0.000  104.909051  1.139945
3    6.000    0.000   2.000    0.000    1.000    0.000  108.388423  1.052493
3    6.000    0.000   1.000    0.000    0.000    0.000  107.042191  1.041885
3    5.000    0.000   4.000    0.000    3.000    0.000  103.885402  1.121692
3    5.000    0.000   3.000    0.000    2.000    0.000  102.006020  0.877716
3    5.000    0.000   2.000    0.000    1.000    0.000  105.519162  1.253781
3    5.000    0.000   1.000    0.000    0.000    0.000  104.474469  0.781154
3    4.000    0.000   3.000    0.000    2.000    0.000  103.777822  1.345281
3    4.000    0.000   2.000    0.000    1.000    0.000  101.434973  0.644433
3    4.000    0.000   1.000    0.000    0.000    0.000  104.536485  1.468003
3    3.000    0.000   2.000    0.000    1.000    0.000  101.688618  0.531895
3    3.000    0.000   1.000    0.000    0.000    0.000  103.150553  1.559566
3    2.000    0.000   1.000    0.000    0.000    0.000  101.687375  0.417994
3    4.000    1.000   4.000    2.000    4.000    3.000  103.583635  1.677485
3    4.000    1.000   4.000    3.000    4.000    4.000  102.140059  0.718500
3    4.000    1.000   4.000    4.000    4.000    5.000  110.913602  1.915182
