Mixed array
 1.0
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
407
1
0
4      24.00 0.00      23.00 0.00      26.00 0.00      27.00 0.00      5.040
4      25.00 0.00      24.00 0.00      27.00 0.00      28.00 0.00      4.478
4      26.00 0.00      25.00 0.00      28.00 0.00      29.00 0.00      4.979
4      27.00 0.00      26.00 0.00      29.00 0.00      30.00 0.00      8.123
4      28.00 0.00      27.00 0.00      30.00 0.00      31.00 0.00     10.892
4      29.00 0.00      28.00 0.00      31.00 0.00      32.00 0.00     10.483
4      30.00 0.00      29.00 0.00      32.00 0.00      33.00 0.00     10.199
4      31.00 0.00      30.00 0.00      33.00 0.00      34.00 0.00     10.092
4       1.00 0.00       0.00 0.00       4.00 0.00       5.00 0.00      9.912
4       2.00 0.00       1.00 0.00       5.00 0.00       6.00 0.00      9.779
4       3.00 0.00       2.00 0.00       6.00 0.00       7.00 0.00      9.531
4       4.00 0.00       3.00 0.00       7.00 0.00       8.00 0.00      9.297
4       5.00 0.00       4.00 0.00       8.00 0.00       9.00 0.00     10.039
4       6.00 0.00       5.00 0.00       9.00 0.00      10.00 0.00     11.835
4       7.00 0.00       6.00 0.00      10.00 0.00      11.00 0.00     14.767
4       8.00 0.00       7.00 0.00      11.00 0.00      12.00 0.00     19.643
4       9.00 0.00       8.00 0.00      12.00 0.00      13.00 0.00     23.530
4      10.00 0.00       9.00 0.00      13.00 0.00      14.00 0.00     23.760
4      11.00 0.00      10.00 0.00      14.00 0.00      15.00 0.00     23.594
4      12.00 0.00      11.00 0.00      15.00 0.00      16.00 0.00     19.788
4      13.00 0.00      12.00 0.00      16.00 0.00      17.00 0.00     15.105
4      14.00 0.00      13.00 0.00      17.00 0.00      18.00 0.00     12.591
4      15.00 0.00      14.00 0.00      18.00 0.00      19.00 0.00     11.254
4      16.00 0.00      15.00 0.00      19.00 0.00      20.00 0.00      6.534
4      17.00 0.00      16.00 0.00      20.00 0.00      21.00 0.00      3.947
4      18.00 0.00      17.00 0.00      21.00 0.00      22.00 0.00      5.083
4      19.00 0.00      18.00 0.00      22.00 0.00      23.00 0.00      5.245
4      20.00 0.00      19.00 0.00      23.00 0.00      24.00 0.00      4.363
4      21.00 0.00      20.00 0.00      24.00 0.00      25.00 0.00      7.831
4      22.00 0.00      21.00 0.00      25.00 0.00      26.00 0.00      8.552
4      23.00 0.00      22.00 0.00      26.00 0.00      27.00 0.00      4.562
4      24.00 0.00      23.00 0.00      27.00 0.00      28.00 0.00      4.553
4      25.00 0.00      24.00 0.00      28.00 0.00      29.00 0.00      4.495
4      26.00 0.00      25.00 0.00      29.00 0.00      30.00 0.00      4.328
4      27.00 0.00      26.00 0.00      30.00 0.00      31.00 0.00      7.635
4      28.00 0.00      27.00 0.00      31.00 0.00      32.00 0.00     11.182
4      29.00 0.00      28.00 0.00      32.00 0.00      33.00 0.00     10.772
4      30.00 0.00      29.00 0.00      33.00 0.00      34.00 0.00     10.375
4       1.00 0.00       0.00 0.00       5.00 0.00       6.00 0.00      9.662
4       2.00 0.00       1.00 0.00       6.00 0.00       7.00 0.00      9.359
4       3.00 0.00       2.00 0.00       7.00 0.00       8.00 0.00      9.185
4       4.00 0.00       3.00 0.00       8.00 0.00       9.00 0.00     10.219
4       5.00 0.00       4.00 0.00       9.00 0.00      10.00 0.00     12.004
4       6.00 0.00       5.00 0.00      10.00 0.00      11.00 0.00     14.435
4       7.00 0.00       6.00 0.00      11.00 0.00      12.00 0.00     18.402
4       8.00 0.00       7.00 0.00      12.00 0.00      13.00 0.00     25.346
4       9.00 0.00       8.00 0.00      13.00 0.00      14.00 0.00     31.596
4      10.00 0.00       9.00 0.00      14.00 0.00      15.00 0.00     31.643
4      11.00 0.00      10.00 0.00      15.00 0.00      16.00 0.00     25.542
4      12.00 0.00      11.00 0.00      16.00 0.00      17.00 0.00     18.900
4      13.00 0.00      12.00 0.00      17.00 0.00      18.00 0.00     15.528
4      14.00 0.00      13.00 0.00      18.00 0.00      19.00 0.00     13.613
4      15.00 0.00      14.00 0.00      19.00 0.00      20.00 0.00      6.799
4      16.00 0.00      15.00 0.00      20.00 0.00      21.00 0.00      3.738
4      17.00 0.00      16.00 0.00      21.00 0.00      22.00 0.00      5.431
4      18.00 0.00      17.00 0.00      22.00 0.00      23.00 0.00      6.479
4      19.00 0.00      18.00 0.00      23.00 0.00      24.00 0.00      6.134
4      20.00 0.00      19.00 0.00      24.00 0.00      25.00 0.00      4.469
4      21.00 0.00      20.00 0.00      25.00 0.00      26.00 0.00      4.955
