X_Coord_m,Z_Coord_m,Std_Wenner_Apparent_Resistivity_Ohmm,PseudoDiode_Apparent_Resistivity_Ohmm,Relative_Error
101.25,-6.25,190.398,194.719,0.022695
103.75,-6.25,191.891,190.482,0.007343
106.25,-6.25,192.135,190.936,0.00624
108.75,-6.25,193.179,184.479,0.045036
111.25,-6.25,194.354,192.926,0.007347
113.75,-6.25,195.217,193.934,0.006572
116.25,-6.25,195.408,186.004,0.048125
118.75,-6.25,197.258,193.353,0.019796
121.25,-6.25,197.684,193.562,0.020851
123.75,-6.25,197.182,201.54,0.022101
126.25,-6.25,197.3,203.798,0.032935
128.75,-6.25,198.432,198.567,0.00068
131.25,-6.25,198.191,194.49,0.018674
133.75,-6.25,198.159,194.654,0.017688
136.25,-6.25,199.658,195.655,0.020049
-135,-7.5,346.33,343.982,0.00678
-132.5,-7.5,346.038,345.963,0.000217
-130,-7.5,346.513,345.964,0.001584
-127.5,-7.5,346.626,357.015,0.029972
-125,-7.5,346.789,351.122,0.012495
-122.5,-7.5,346.718,343.076,0.010504
-120,-7.5,346.269,361.409,0.043723
-117.5,-7.5,346.34,334.08,0.035399
-115,-7.5,345.925,349.861,0.011378
-112.5,-7.5,345.476,339.512,0.017263
-110,-7.5,344.787,354.847,0.029177
-107.5,-7.5,343.89,326.502,0.050563
-105,-7.5,343.27,355.904,0.036805
-102.5,-7.5,342.461,343.406,0.002759
-100,-7.5,341.062,334.817,0.01831
-97.5,-7.5,339.792,351.23,0.033662
-95,-7.5,338.574,328.441,0.029928
-92.5,-7.5,337.994,328.453,0.028228
-90,-7.5,337.392,346.793,0.027864
-87.5,-7.5,336.704,328.306,0.024942
-85,-7.5,336.425,323.776,0.037598
-82.5,-7.5,336.166,319.69,0.049012
-80,-7.5,336.263,340.067,0.011313
-77.5,-7.5,335.69,331.431,0.012687
-75,-7.5,334.658,336.618,0.005857
-72.5,-7.5,333.465,315.984,0.052422
-70,-7.5,332.346,333.171,0.002482
-67.5,-7.5,330.42,322.339,0.024457
-65,-7.5,327.632,331.164,0.01078
-62.5,-7.5,324.605,308.694,0.049016
-60,-7.5,321.646,315.322,0.019661
-57.5,-7.5,318.859,317.529,0.004171
-55,-7.5,315.111,318.439,0.010561
-52.5,-7.5,311.178,321.426,0.032933
-50,-7.5,307.259,291.477,0.051364
-47.5,-7.5,303.398,327.743,0.080241
-45,-7.5,299.124,295.366,0.012563
-42.5,-7.5,294.613,286.789,0.026557
-40,-7.5,290.693,293.27,0.008865
-37.5,-7.5,287.069,274.712,0.043045
-35,-7.5,284.417,301.323,0.059441
-32.5,-7.5,282.444,257.41,0.088633
-30,-7.5,281.346,284.891,0.0126
-27.5,-7.5,280.724,280.757,0.000118
-25,-7.5,280.269,280.026,0.000867
