X_Coord_m,Z_Coord_m,Std_Wenner_Apparent_Resistivity_Ohmm,PseudoDipole_Apparent_Resistivity_Ohmm,Relative_Error
-113.75,-18.75,286.232,295.193,0.031307
-111.25,-18.75,286.334,288.777,0.008532
-108.75,-18.75,286.485,289.481,0.010458
-106.25,-18.75,286.187,283.754,0.008501
-103.75,-18.75,285.7,281.578,0.014428
-101.25,-18.75,285.233,279.95,0.018522
-98.75,-18.75,284.824,288.437,0.012685
-96.25,-18.75,284.509,278.797,0.020077
-93.75,-18.75,283.749,276.894,0.024159
-91.25,-18.75,283.012,287.486,0.015809
-88.75,-18.75,282.727,284.45,0.006094
-86.25,-18.75,282.902,285.797,0.010233
-83.75,-18.75,282.797,278.028,0.016864
-81.25,-18.75,282.19,288.964,0.024005
-78.75,-18.75,281.605,277.348,0.015117
-76.25,-18.75,281.246,278.876,0.008427
-73.75,-18.75,280.605,284.688,0.014551
-71.25,-18.75,279.557,283.628,0.014562
-68.75,-18.75,278.485,284.822,0.022755
-66.25,-18.75,277.788,277.515,0.000983
-63.75,-18.75,276.903,280.873,0.014337
-61.25,-18.75,275.822,277.041,0.00442
-58.75,-18.75,274.505,265.853,0.031519
-56.25,-18.75,273.143,269.513,0.01329
-53.75,-18.75,272.092,261.985,0.037146
-51.25,-18.75,271.056,266.621,0.016362
-48.75,-18.75,269.574,269.548,9.6e-05
-46.25,-18.75,268.115,271.383,0.012189
-43.75,-18.75,266.874,261.575,0.019856
-41.25,-18.75,265.753,270.558,0.018081
-38.75,-18.75,264.1,255.353,0.03312
-36.25,-18.75,261.945,273.554,0.044318
-33.75,-18.75,259.7,253.153,0.02521
-31.25,-18.75,257.642,257.34,0.001172
-28.75,-18.75,255.556,242.53,0.050971
-26.25,-18.75,253.121,245.069,0.031811
-23.75,-18.75,250.452,249.412,0.004152
-21.25,-18.75,247.431,255.233,0.031532
-18.75,-18.75,243.657,240.83,0.011602
-16.25,-18.75,239.211,246.076,0.028699
-13.75,-18.75,234.491,238.367,0.016529
-11.25,-18.75,229.626,233.569,0.017171
-8.75,-18.75,224.928,224.67,0.001147
-6.25,-18.75,220.172,221.532,0.006177
-3.75,-18.75,215.982,222.38,0.029623
-1.25,-18.75,212.529,216.7,0.019626
1.25,-18.75,209.966,216.411,0.030695
3.75,-18.75,207.317,206.066,0.006034
6.25,-18.75,204.72,203.907,0.003971
8.75,-18.75,202.391,202.246,0.000716
11.25,-18.75,200.5,196.148,0.021706
13.75,-18.75,198.388,197.523,0.00436
16.25,-18.75,196.428,194.07,0.012004
18.75,-18.75,194.29,199.408,0.026342
21.25,-18.75,192.302,196.578,0.022236
23.75,-18.75,190.968,196.505,0.028994
26.25,-18.75,189.889,185.349,0.023909
28.75,-18.75,188.526,187.971,0.002944
31.25,-18.75,187.393,184.369,0.016137
33.75,-18.75,186.666,186.866,0.001071
36.25,-18.75,186.131,193.021,0.037017
38.75,-18.75,184.293,190.08,0.031401
41.25,-18.75,182.007,177.848,0.022851
43.75,-18.75,179.615,180.878,0.007032
46.25,-18.75,176.883,174.984,0.010736
48.75,-18.75,174.732,175.005,0.001562
51.25,-18.75,172.964,174.718,0.010141
53.75,-18.75,171.48,173.736,0.013156
56.25,-18.75,171.424,174.984,0.020767
58.75,-18.75,172.331,172.531,0.001161
61.25,-18.75,173.858,177.6,0.021523
63.75,-18.75,175.894,170.151,0.03265
66.25,-18.75,178.039,172.493,0.03115
68.75,-18.75,180.398,179.987,0.002278
71.25,-18.75,182.148,182.993,0.004639
73.75,-18.75,183.806,184.601,0.004325
76.25,-18.75,184.887,189.072,0.022635
78.75,-18.75,185.457,190.882,0.029252
81.25,-18.75,186.348,182.626,0.019973
